(2563, '2021:08:12:13:44:13', '2021:08:12:13:44:13', 'L')
(2573, '2021:08:12:13:44:14', '2021:08:12:13:44:14', 'L')
(2576, '2021:08:12:13:44:14', '2021:08:12:13:44:14', 'R')
(2577, '2021:08:12:13:44:14', '2021:08:12:13:44:14', 'R')
(2581, '2021:08:12:13:44:14', '2021:08:12:13:44:14', 'L')
(2583, '2021:08:12:13:44:14', '2021:08:12:13:44:14', 'R')
(2589, '2021:08:12:13:44:14', '2021:08:12:13:44:14', 'L')
(2591, '2021:08:12:13:44:14', '2021:08:12:13:44:14', 'R')
(2593, '2021:08:12:13:44:14', '2021:08:12:13:44:14', 'R')
(2596, '2021:08:12:13:44:14', '2021:08:12:13:44:14', 'R')
(2599, '2021:08:12:13:44:14', '2021:08:12:13:44:14', 'R')
(3901, '2021:08:14:21:09:37', '2021:08:14:21:09:37', 'L')
(3905, '2021:08:14:21:09:38', '2021:08:14:21:09:38', 'L')
(3910, '2021:08:14:21:09:38', '2021:08:14:21:09:38', 'R')
(3912, '2021:08:14:21:09:38', '2021:08:14:21:09:38', 'R')
(3915, '2021:08:14:21:09:38', '2021:08:14:21:09:38', 'L')
(3917, '2021:08:14:21:09:38', '2021:08:14:21:09:38', 'R')
(3919, '2021:08:14:21:09:38', '2021:08:14:21:09:38', 'R')
(3922, '2021:08:14:21:09:38', '2021:08:14:21:09:39', 'R')
(3924, '2021:08:14:21:09:39', '2021:08:14:21:09:39', 'L')
(3926, '2021:08:14:21:09:39', '2021:08:14:21:09:39', 'R')
(3930, '2021:08:14:21:09:39', '2021:08:14:21:09:39', 'L')
(3931, '2021:08:14:21:09:39', '2021:08:14:21:09:39', 'L')
(3940, '2021:08:14:21:09:39', '2021:08:14:21:09:39', 'R')
(3941, '2021:08:14:21:09:39', '2021:08:14:21:09:39', 'R')
(3942, '2021:08:14:21:09:39', '2021:08:14:21:09:39', 'R')
(3946, '2021:08:14:21:09:39', '2021:08:14:21:09:39', 'L')
(3948, '2021:08:14:21:09:40', '2021:08:14:21:09:40', 'R')
(3949, '2021:08:14:21:09:40', '2021:08:14:21:09:40', 'R')
(3961, '2021:08:14:21:09:40', '2021:08:14:21:09:40', 'R')
(3971, '2021:08:14:21:09:41', '2021:08:14:21:09:41', 'R')
(3973, '2021:08:14:21:09:41', '2021:08:14:21:09:41', 'L')
(3980, '2021:08:14:21:09:41', '2021:08:14:21:09:41', 'L')
(3983, '2021:08:14:21:09:41', '2021:08:14:21:09:41', 'R')
(3984, '2021:08:14:21:09:41', '2021:08:14:21:09:41', 'L')
(3985, '2021:08:14:21:09:41', '2021:08:14:21:09:41', 'R')
(3992, '2021:08:14:21:09:42', '2021:08:14:21:09:42', 'L')
(4005, '2021:08:17:10:06:46', '2021:08:17:10:06:46', 'R')
(4012, '2021:08:17:10:06:46', '2021:08:17:10:06:46', 'L')
(4015, '2021:08:17:10:06:46', '2021:08:17:10:06:46', 'L')
(4016, '2021:08:17:10:06:46', '2021:08:17:10:06:46', 'L')
(4021, '2021:08:17:10:06:46', '2021:08:17:10:06:46', 'R')
(4027, '2021:08:17:10:06:46', '2021:08:17:10:06:46', 'L')
(4030, '2021:08:17:10:06:46', '2021:08:17:10:06:46', 'R')
(4038, '2021:08:17:10:06:46', '2021:08:17:10:06:46', 'L')
(4039, '2021:08:17:10:06:46', '2021:08:17:10:06:46', 'L')
(4040, '2021:08:17:10:06:46', '2021:08:17:10:06:46', 'R')
(4043, '2021:08:17:10:06:46', '2021:08:17:10:06:46', 'L')
(4046, '2021:08:17:10:06:46', '2021:08:17:10:06:46', 'L')
(4047, '2021:08:17:10:06:46', '2021:08:17:10:06:46', 'L')
(4063, '2021:08:17:10:06:46', '2021:08:17:10:06:46', 'L')
(4068, '2021:08:17:10:06:46', '2021:08:17:10:06:46', 'L')
(4069, '2021:08:17:10:06:46', '2021:08:17:10:06:46', 'R')
(4073, '2021:08:17:10:06:46', '2021:08:17:10:06:46', 'R')
(4074, '2021:08:17:10:06:46', '2021:08:17:10:06:46', 'R')
(4083, '2021:08:17:10:06:46', '2021:08:17:10:06:46', 'R')
(4085, '2021:08:17:10:06:46', '2021:08:17:10:06:46', 'L')
(4088, '2021:08:17:10:06:46', '2021:08:17:10:06:46', 'R')
(4091, '2021:08:17:10:06:46', '2021:08:17:10:06:46', 'R')
(4103, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'L')
(4104, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'L')
(4108, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'R')
(4110, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'R')
(4112, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'R')
(4114, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'L')
(4118, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'L')
(4121, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'R')
(4124, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'L')
(4125, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'R')
(4126, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'R')
(4128, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'R')
(4133, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'R')
(4134, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'R')
(4150, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'R')
(4151, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'L')
(4159, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'R')
(4164, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'R')
(4165, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'L')
(4168, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'L')
(4172, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'L')
(4173, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'L')
(4178, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'L')
(4182, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'L')
(4184, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'L')
(4186, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'R')
(4187, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'R')
(4188, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'L')
(4189, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'R')
(4191, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'R')
(4195, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'L')
(4198, '2021:08:17:10:31:43', '2021:08:17:10:31:43', 'L')
(4402, '2021:08:17:11:50:49', '2021:08:17:11:50:49', 'L')
(4410, '2021:08:17:11:50:49', '2021:08:17:11:50:49', 'R')
(4412, '2021:08:17:11:50:49', '2021:08:17:11:50:49', 'L')
(4419, '2021:08:17:11:50:49', '2021:08:17:11:50:49', 'R')
(4427, '2021:08:17:11:50:49', '2021:08:17:11:50:49', 'L')
(4428, '2021:08:17:11:50:49', '2021:08:17:11:50:49', 'L')
(4432, '2021:08:17:11:50:49', '2021:08:17:11:50:49', 'R')
(4433, '2021:08:17:11:50:49', '2021:08:17:11:50:49', 'L')
(4434, '2021:08:17:11:50:49', '2021:08:17:11:50:49', 'L')
(4442, '2021:08:17:11:50:49', '2021:08:17:11:50:49', 'L')
(4446, '2021:08:17:11:50:49', '2021:08:17:11:50:49', 'R')
(4448, '2021:08:17:11:50:49', '2021:08:17:11:50:49', 'R')
(4451, '2021:08:17:11:50:49', '2021:08:17:11:50:49', 'L')
(2501, '2021:08:12:13:44:13', '2021:08:12:13:44:13', 'L')
